-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none
MdDc----x---- : /soc/apmixedsys@10018000 : mediatek,mt8167-apmixedsys : drivers/mmc/host/mediatek/mt8167/msdc_io.c : msdc-y : none
MdDc---Hx---- : /soc/apmixedsys@10018000 : syscon : arch/arm/mach-clps711x/devices.c : obj-y : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : arch/arm/mach-u300/regulator.c : CONFIG_REGULATOR_AB3100 : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/fpga/zynq-fpga.c : CONFIG_FPGA_MGR_ZYNQ_FPGA : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/hwspinlock/qcom_hwspinlock.c : CONFIG_HWSPINLOCK_QCOM : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/irqchip/irq-digicolor.c : CONFIG_ARCH_DIGICOLOR : none
MdDcC--Hx---- : /soc/apmixedsys@10018000 : syscon : drivers/media/platform/omap3isp/isp.c : omap3-isp-objs : none
MdDcC--H----- : /soc/apmixedsys@10018000 : syscon : drivers/media/platform/omap3isp/isp.c : CONFIG_VIDEO_OMAP3 : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/mfd/syscon.c : CONFIG_MFD_SYSCON : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/mfd/vexpress-sysreg.c : CONFIG_MFD_VEXPRESS_SYSREG : none
MdDcC--H----- : /soc/apmixedsys@10018000 : syscon : drivers/net/ethernet/ti/cpsw-common.c : CONFIG_TI_CPSW : none
MdDcC--H----- : /soc/apmixedsys@10018000 : syscon : drivers/net/ethernet/ti/cpsw-common.c : CONFIG_TI_DAVINCI_EMAC : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/phy/phy-dm816x-usb.c : CONFIG_PHY_DM816X_USB : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/phy/phy-exynos-mipi-video.c : CONFIG_PHY_EXYNOS_MIPI_VIDEO : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/pinctrl/pinctrl-zynq.c : CONFIG_PINCTRL_ZYNQ : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/power/reset/axxia-reset.c : CONFIG_POWER_RESET_AXXIA : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/power/reset/brcmstb-reboot.c : CONFIG_POWER_RESET_BRCMSTB : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/regulator/pbias-regulator.c : CONFIG_REGULATOR_PBIAS : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/reset/reset-zynq.c : CONFIG_ARCH_ZYNQ : none
MdDcC--Hx---- : /soc/apmixedsys@10018000 : syscon : drivers/staging/media/omap4iss/iss.c : omap4-iss-objs : none
MdDcC--H----- : /soc/apmixedsys@10018000 : syscon : drivers/staging/media/omap4iss/iss.c : CONFIG_VIDEO_OMAP4 : none
MdDc---H----- : /soc/apmixedsys@10018000 : syscon : drivers/tty/serial/clps711x.c : CONFIG_SERIAL_CLPS711X : none

-d-c----x---- : /soc/audio-controller@11140000 : mediatek,mt8167-afe-pcm : sound/soc/mediatek/mt8167/mt8167-afe-pcm.c : snd-soc-mt8167-pcm-objs : none

MdDc--------- : /soc/audiotop@11140000 : mediatek,mt8167-audiotop : drivers/clk/mediatek/clk-mt8167.c : CONFIG_COMMON_CLK_MT8167 : none
MdDc----x---- : /soc/audiotop@11140000 : mediatek,mt8167-audiotop : drivers/misc/mediatek/base/power/mt8167/mtk_idle.c : obj-y : none
MdDc---Hx---- : /soc/audiotop@11140000 : syscon : arch/arm/mach-clps711x/devices.c : obj-y : none
MdDc---H----- : /soc/audiotop@11140000 : syscon : arch/arm/mach-u300/regulator.c : CONFIG_REGULATOR_AB3100 : none
MdDc---H----- : /soc/audiotop@11140000 : syscon : drivers/fpga/zynq-fpga.c : CONFIG_FPGA_MGR_ZYNQ_FPGA : none
MdDc---H----- : /soc/audiotop@11140000 : syscon : drivers/hwspinlock/qcom_hwspinlock.c : CONFIG_HWSPINLOCK_QCOM : none
MdDc---H----- : /soc/audiotop@11140000 : syscon : drivers/irqchip/irq-digicolor.c : CONFIG_ARCH_DIGICOLOR : none
MdDcC--Hx---- : /soc/audiotop@11140000 : syscon : drivers/media/platform/omap3isp/isp.c : omap3-isp-objs : none
